10078969838791965e-21,10709103459220073e-21,9824564351009593e-21,9610793789402466e-21,936330664595387e-20,897353552952525e-20,8566672831178288e-21,815604720669839e-20,7742404360735804e-21,7382656353400403e-21
10087046746046399e-21,10744359437259139e-21,9821128826478393e-21,9600243794368182e-21,9344846306952743e-21,894397606690293e-20,852531115070196e-20,8103111952161204e-21,7676958065785337e-21,7306393569195472e-21
10095271745355878e-21,1077979197861332e-20,98178287499016e-19,9589775882968174e-21,9326464766850214e-21,8914603734089768e-21,848426603451842e-20,805063717533175e-20,7612256953608061e-21,7230947089475223e-21
1010363573229999e-20,10815392743067081e-21,9814661125397254e-21,9579387581525689e-21,9308160504022844e-21,8885413692361033e-21,8443530205467501e-21,7998614131269256e-21,7548285371797604e-21,7156307086212371e-21
1011213150354169e-20,10851155168065571e-21,981162364305712e-20,9569076910632491e-21,9289932235215755e-21,8856401890793024e-21,8403097519433483e-21,7947035268878704e-21,74850297175020996e-22,7082464123878164e-21
10120752235938061e-21,10887073205992831e-21,9808714106586265e-21,9558842030903657e-21,9271778808959582e-21,882756456081096e-20,8362962159002316e-21,7895893333472493e-21,7422476796197661e-21,7009408900577114e-21
10129491460596985e-21,10923141270477155e-21,9805930425438628e-21,9548681229385106e-21,9253699188463165e-21,879889818842718e-20,832311860733163e-20,784518134700542e-20,736061380560693e-20,6937132245488105e-21
1013834303917848e-20,10959354189499764e-21,9803270607617671e-21,9538592907623996e-21,9235692436944826e-21,8770399489694227e-21,828356162455966e-20,77948925902249e-19,7299428320068594e-21,6865625116371729e-21
10147301142220987e-21,10995707164308242e-21,9800732753087158e-21,9528575571163793e-21,9217757705020371e-21,8742065388953726e-21,8244286226475512e-21,7745020586452676e-21,72389082754861324e-22,679487859714512e-20
1015636022921424e-20,1103219573324264e-20,9798315047708038e-21,9518627820247188e-21,9199894219829109e-21,8713892999500534e-21,820528766516708e-20,7695559086736583e-21,7179041954827443e-21,67248838955095415e-22
10165515030344217e-21,11068815739854193e-21,9796015757691387e-21,950874834158114e-20,918210127563796e-20,8685879606382695e-21,8166561411481242e-21,7646502056261649e-21,71198179743144154e-22,6655632340648422e-21
10174760529676963e-21,11105563304675098e-21,9793833224492672e-21,9498935901006314e-21,9164378225701634e-21,8658022651051906e-21,8128103139069572e-21,7597843661838828e-21,7061225270218678e-21,6587115380980814e-21
10184091949674142e-21,11142434800170373e-21,9791765860118625e-21,9489189336958314e-21,9146724475195892e-21,8630319717645656e-21,8089908709868329e-21,75495782603753195e-22,7003253086289143e-21,651932458197484e-20
10193504736850218e-21,11179426828407443e-21,97898121427834e-19,9479507554605405e-21,9129139475068227e-21,8602768520688042e-21,8051974160834595e-21,7501700388191506e-21,69458909617168656e-22,6452251624007222e-21
10202994548558426e-21,1121653620115917e-20,9787970612918475e-21,9469889520596779e-21,9111622716677686e-21,8575366894064216e-21,8014295691854468e-21,7454204751156494e-21,6889128719726281e-21,6385888300285646e-21
10212557240740066e-21,11253759922089924e-21,9786239869479657e-21,9460334258333368e-21,9094173727112445e-21,8548112781103858e-21,7976869654676432e-21,7407086215530773e-21,6832956456690904e-21,6320226514819857e-21
10222188856565707e-21,1129109517077803e-20,9784618566530327e-21,9450840843701305e-21,9076792065092211e-21,8521004225649902e-21,7939692542775666e-21,7360339799461246e-21,6777364531766614e-21,6255258280443026e-21
10231885615903907e-21,11328539288362382e-21,9783105410081952e-21,9441408401216364e-21,9059477317376288e-21,8494039364004168e-21,7902760982065043e-21,7313960665079732e-21,6722343557033347e-21,61909757168846235e-22
1024164390548819e-20,11366089764581259e-21,9781699155146277e-21,943203610052025e-20,9042229095609283e-21,846721641763878e-20,7866071722345487e-21,7267944111121022e-21,66678843880513385e-22,6127371048881988e-21
