10284695981797657e-21,10205680032029744e-21,999159488481633e-20,10019959464187943e-21,10022734114427634e-21,10021318640976126e-21,1001755068922987e-20,10011037925493473e-21,9999728045786385e-21,9975027507775402e-21
10569142411114216e-21,10417040526762624e-21,9985411183780321e-21,10039305084192847e-21,100454265091211e-19,10042691749733932e-21,10035180550408422e-21,10022157981390575e-21,9999537795611697e-21,9950194769369938e-21
1085334510273155e-20,10634062915165118e-21,9981479921808079e-21,10058097196074715e-21,10068061823142907e-21,10064115737063265e-21,10052887474740387e-21,10033358639707076e-21,9999428739973557e-21,9925503286743485e-21
1113731005323659e-20,10856728575012728e-21,9979831381152956e-21,10076395552108659e-21,10090626651926872e-21,1008558665284997e-20,1007066927660013e-20,10044638350441724e-21,9999400394487346e-21,990095462496676e-20
11421043444479267e-21,1108501882935192e-20,9980495109784172e-21,10094259313905342e-21,10113109480346055e-21,10107100248337284e-21,10088523686080592e-21,10055995541681191e-21,9999452301131299e-21,9876550412146635e-21
11704551636069587e-21,11318914940341149e-21,9983499927092161e-21,101117470447687e-19,10135500616702769e-21,10128652034205735e-21,10106448342491895e-21,10067428618180536e-21,9999584027257183e-21,985229233577575e-20
11987841178833376e-21,11558398110492611e-21,9988873934221767e-21,10128916704220273e-21,10157792128986282e-21,1015023733623242e-20,10124440791300544e-21,1007893596271557e-20,9999795168975819e-21,9828182145901179e-21
12270918817574894e-21,11803449479911018e-21,9996644521942194e-21,10145825641784455e-21,10179977782024071e-21,10171851347086256e-21,10142498481806699e-21,1009051593607216e-20,10000085352378317e-21,9804221654754806e-21
12553791482596544e-21,12054050118265354e-21,10006838375520544e-21,10162530589931763e-21,10202052975434408e-21,1019348917429122e-20,10160618765287798e-21,10102166875532033e-21,10000454232415484e-21,97804127327409e-19
12836466302623002e-21,12310181025029438e-21,1001948148465836e-20,10179087659190159e-21,10224014683797375e-21,10215145886258026e-21,1017879889635395e-20,10113887096419935e-21,10000901496323555e-21,9756757311348683e-21
13118950603033827e-21,12571823123380066e-21,10034599149663948e-21,10195552332090844e-21,10245861397429885e-21,1023681655456425e-20,10197036034261559e-21,10125674891753677e-21,1000142686398569e-20,9733257381265746e-21
13401251911130806e-21,12838957256632419e-21,10052215989230661e-21,10211979457928973e-21,10267593064691791e-21,10258496293788742e-21,10215327245998076e-21,10137528533053438e-21,1000203008982874e-20,970991499274506e-20
13683377946170988e-21,131115641769765e-19,10072355943817767e-21,102284232462245e-19,10289211034771158e-21,10280180297713604e-21,10233669508953662e-21,10149446269107223e-21,1000271096146925e-20,968673225107054e-20
13965336631386734e-21,13389624543722448e-21,10095042284732487e-21,10244937262359614e-21,10310718002630485e-21,10301863874207976e-21,10252059716614211e-21,10161426328149127e-21,10003469303140016e-21,966371131907693e-20
14247136094656524e-21,13673118915985482e-21,10120297619963098e-21,10261574422282037e-21,10332117954568454e-21,10323542476950317e-21,10270494684057553e-21,10173466918622917e-21,1000430497670999e-20,9640854415977152e-21
14528784657280786e-21,13962027738312064e-21,1014814389606955e-20,10278386986117358e-21,10353416114290981e-21,10345211733966838e-21,10288971152991335e-21,10185566228344041e-21,10005217880117123e-21,9618163812413333e-21
14810290845172411e-21,14256331336807279e-21,10178602406298269e-21,10295426553968754e-21,1037461889110757e-20,10366867475288676e-21,10307485799746711e-21,10197722427319112e-21,10006207950758718e-21,9595641832649964e-21
