1524,-196.5,-77.5,70,2676126853
1525,-195.5,-77.5,253.3614044,2676126853
1526,-194.5,-77.5,253.3614044,2676126853
1527,-193.5,-77.5,253.3614044,2676126853
1528,-192.5,-77.5,305.4845276,2676126853
1529,-191.5,-77.5,341.0969849,2676126853
1530,-190.5,-77.5,625.0891724,2676126853
1531,-189.5,-77.5,702.9107666,2676126853
1532,-188.5,-77.5,683.2824097,2676126853
1533,-187.5,-77.5,666.1329346,2676126853
1534,-186.5,-77.5,566.239563,2676126853
1535,-185.5,-77.5,456.4789734,2676126853
1536,-184.5,-77.5,456.4789734,2676126853
1537,-183.5,-77.5,448.1964722,2676126853
1538,-182.5,-77.5,455,2676126853
1539,-181.5,-77.5,455,2676126853
1540,-180.5,-77.5,455,2676126853
1541,-179.5,-77.5,641.0255127,2676126853
1542,-178.5,-77.5,649.5061646,2676126853
1543,-177.5,-77.5,566.5297241,2676126853
1544,-176.5,-77.5,564.3727417,2676126853
1545,-175.5,-77.5,529.2770996,2676126853
1546,-174.5,-77.5,525,2676126853
1547,-173.5,-77.5,525,2676126853
1548,-172.5,-77.5,525,2676126853
1549,-171.5,-77.5,452.4846802,2676126853
1550,-170.5,-77.5,458.9361572,2676126853
1551,-169.5,-77.5,458.9361572,2676126853
1552,-168.5,-77.5,451.4660339,2676126853
1553,-167.5,-77.5,471.1239624,2676126853
1554,-166.5,-77.5,439.0395203,2676126853
1555,-165.5,-77.5,462.9338989,2676126853
1556,-164.5,-77.5,480.0406494,2676126853
1557,-163.5,-77.5,557.9897461,2676126853
1558,-162.5,-77.5,566.6384888,2676126853
1559,-161.5,-77.5,566.6384888,2676126853
1560,-160.5,-77.5,502.5144958,2676126853
1561,-159.5,-77.5,395.7541504,2676126853
1562,-158.5,-77.5,395.7541504,2676126853
1563,-157.5,-77.5,50,2676126853
1672,-48.5,-77.5,90,2676126853
1673,-47.5,-77.5,140,2676126853
1674,-46.5,-77.5,190,2676126853
1675,-45.5,-77.5,230,2676126853
1676,-44.5,-77.5,278.9279785,2676126853
1677,-43.5,-77.5,313.0713501,2676126853
1678,-42.5,-77.5,349.3863525,2676126853
1679,-41.5,-77.5,389.7994385,2676126853
1680,-40.5,-77.5,469.588501,2676126853
1681,-39.5,-77.5,540.0615845,2676126853
1682,-38.5,-77.5,710.1082764,2676126853
1683,-37.5,-77.5,836.5585327,2676126853
1684,-36.5,-77.5,836.5585327,2676126853
1685,-35.5,-77.5,513.387146,2676126853
1686,-34.5,-77.5,240.5614166,2676126853
1687,-33.5,-77.5,70,2676126853
1884,-196.5,-76.5,393.7799377,2886391246
1885,-195.5,-76.5,671.3743896,2886391246
1886,-194.5,-76.5,645.3810425,2886391246
1887,-193.5,-76.5,555,2886391246
1888,-192.5,-76.5,555,2886391246
1889,-191.5,-76.5,555,2886391246
1890,-190.5,-76.5,625.0891724,2886391246
1891,-189.5,-76.5,764.7008057,2886391246
1892,-188.5,-76.5,729.5324097,2886391246
